category,name_en,image_url
topic,marshmallows,/symbols/mulberry/marshmallows.svg
topic,biscuits,/symbols/mulberry/biscuits.svg
topic,jelly beans,/symbols/mulberry/jelly_beans.svg
topic,candy cane,/symbols/mulberry/candy_cane.svg
topic,nuts,/symbols/mulberry/nuts.svg
topic,cake slice,/symbols/mulberry/cake_slice_2.svg
topic,chocolate chip biscuit,/symbols/mulberry/chocolate_chip_biscuit.svg
topic,yogurt,/symbols/mulberry/yogurt.svg
topic,ice lolly,/symbols/mulberry/ice_lolly.svg
topic,pretzel,/symbols/mulberry/pretzel.svg
topic,peanut,/symbols/mulberry/peanut.svg
topic,cycle,"/symbols/mulberry/cycle_,_to.svg"
topic,play basketball,/symbols/mulberry/basketball.svg
topic,go bowling,/symbols/mulberry/bowler_1.svg
topic,play computer games,/symbols/mulberry/computer_game.svg
topic,watch TV,/symbols/mulberry/flatscreen_tv.svg
topic,solve jigsaw puzzle,/symbols/mulberry/jigsaw_puzzle.svg
topic,play soccer,"/symbols/mulberry/kick_ball_1_,_to.svg"
topic,play bingo,/symbols/mulberry/bingo.svg
topic,bathe,"/symbols/mulberry/bathe_,_to.svg"
topic,work,"/symbols/mulberry/work_,_to.svg"
topic,cook,"/symbols/mulberry/cook_,_to.svg"
topic,exercise,"/symbols/mulberry/exercise_,_to.svg"
topic,run,"/symbols/mulberry/run_,_to.svg"
topic,armwrestle,"/symbols/mulberry/armwrestle_,_to.svg"
topic,celebrate,"/symbols/mulberry/celebrate_3_,_to.svg"
topic,swim,"/symbols/mulberry/swim_,_to.svg"
topic,play darts,/symbols/mulberry/darts.svg
topic,play cards,/symbols/mulberry/playing_cards.svg
emotion,I am,/symbols/arasaac/i_am.png
emotion,You are,/symbols/arasaac/you_are.png
emotion,Are you,/symbols/arasaac/are_you.png
emotion,happy,/symbols/mulberry/happy_man.svg
emotion,sad,/symbols/mulberry/sad_man.svg
emotion,angry,/symbols/mulberry/angry_man.svg
emotion,afraid,/symbols/mulberry/afraid_man.svg
emotion,confused,/symbols/mulberry/confused_man.svg
emotion,hot,/symbols/mulberry/hot_person.svg
emotion,excited,/symbols/mulberry/excited_man.svg
emotion,relaxed,"/symbols/mulberry/relax_3_,_to.svg"
topic,I have pain in,/symbols/arasaac/i_am_pain.png
topic,itch,/symbols/mulberry/itch.svg
topic,head,/symbols/mulberry/head.svg
topic,face,/symbols/mulberry/neutral_face.svg
topic,eyebrow,/symbols/mulberry/eyebrow.svg
topic,eyes,/symbols/mulberry/eyes.svg
topic,eye,/symbols/mulberry/eye.svg
topic,eyelash,/symbols/mulberry/eyelash.svg
topic,cheek,/symbols/mulberry/cheek.svg
topic,ear,/symbols/mulberry/ear.svg
topic,lips,/symbols/mulberry/lips_1.svg
