folder,word,image_url
drinks,milkshake,/symbols/mulberry/milkshake.svg
drinks,hot chocolate,/symbols/mulberry/hot_chocolate.svg
drinks,tea,/symbols/mulberry/tea.svg
drinks,coffee,/symbols/mulberry/coffee.svg
drinks,wine,/symbols/mulberry/wine.svg
drinks,beer,/symbols/mulberry/beer.svg
drinks,straw,/symbols/mulberry/straw.svg
snacks,I want,"/symbols/mulberry/want_,_to.svg"
snacks,ice cream,/symbols/mulberry/ice_cream.svg
snacks,chocolate,/symbols/mulberry/chocolate.svg
snacks,crisps,/symbols/mulberry/crisps.svg
snacks,marshmallows,/symbols/mulberry/marshmallows.svg
snacks,biscuits,/symbols/mulberry/biscuits.svg
snacks,jelly beans,/symbols/mulberry/jelly_beans.svg
snacks,candy cane,/symbols/mulberry/candy_cane.svg
snacks,nuts,/symbols/mulberry/nuts.svg
snacks,cake slice,/symbols/mulberry/cake_slice_2.svg
snacks,chocolate chip biscuit,/symbols/mulberry/chocolate_chip_biscuit.svg
snacks,yogurt,/symbols/mulberry/yogurt.svg
snacks,ice lolly,/symbols/mulberry/ice_lolly.svg
snacks,pretzel,/symbols/mulberry/pretzel.svg
snacks,peanut,/symbols/mulberry/peanut.svg
activities,I want,"/symbols/mulberry/want_,_to.svg"
activities,to cycle,"/symbols/mulberry/cycle_,_to.svg"
activities,to play basketball,/symbols/mulberry/basketball.svg
activities,to go bowling,/symbols/mulberry/bowler_1.svg
activities,to play computer games,/symbols/mulberry/computer_game.svg
activities,to watch TV,/symbols/mulberry/flatscreen_tv.svg
activities,to solve jigsaw puzzle,/symbols/mulberry/jigsaw_puzzle.svg
activities,to play soccer,"/symbols/mulberry/kick_ball_1_,_to.svg"
activities,to play bingo,/symbols/mulberry/bingo.svg
activities,to bathe,"/symbols/mulberry/bathe_,_to.svg"
activities,to work,"/symbols/mulberry/work_,_to.svg"
activities,to cook,"/symbols/mulberry/cook_,_to.svg"
activities,to exercise,"/symbols/mulberry/exercise_,_to.svg"
activities,to run,"/symbols/mulberry/run_,_to.svg"
activities,to armwrestle,"/symbols/mulberry/armwrestle_,_to.svg"
activities,to celebrate,"/symbols/mulberry/celebrate_3_,_to.svg"
activities,to swim,"/symbols/mulberry/swim_,_to.svg"
activities,to fish,"/symbols/mulberry/fish_,_to.svg"
activities,to play darts,/symbols/mulberry/darts.svg
activities,to play cards,/symbols/mulberry/playing_cards.svg
emotions,I am,/symbols/arasaac/i_am.png
emotions,You are,/symbols/arasaac/you_are.png
emotions,Are you,/symbols/arasaac/are_you.png
emotions,happy,/symbols/mulberry/happy_man.svg
emotions,sad,/symbols/mulberry/sad_man.svg
emotions,angry,/symbols/mulberry/angry_man.svg
emotions,afraid,/symbols/mulberry/afraid_man.svg
emotions,confused,/symbols/mulberry/confused_man.svg
emotions,hot,/symbols/mulberry/hot_person.svg
emotions,excited,/symbols/mulberry/excited_man.svg
emotions,relaxed,"/symbols/mulberry/relax_3_,_to.svg"
body,I have pain in,/symbols/arasaac/i_am_pain.png
body,itch,/symbols/mulberry/itch.svg
body,head,/symbols/mulberry/head.svg
body > face,face,/symbols/mulberry/neutral_face.svg
body > face,eyebrow,/symbols/mulberry/eyebrow.svg
body > face,eyes,/symbols/mulberry/eyes.svg
body > face,eye,/symbols/mulberry/eye.svg
body > face,eyelash,/symbols/mulberry/eyelash.svg
body > face,cheek,/symbols/mulberry/cheek.svg
body > face,ear,/symbols/mulberry/ear.svg
body > face,lips,/symbols/mulberry/lips_1.svg
body > face,teeth,/symbols/mulberry/teeth.svg
body > face,gum,/symbols/mulberry/gum.svg
body > face,tongue,/symbols/mulberry/tongue.svg
body > face,chin,/symbols/mulberry/chin.svg
body,neck,/symbols/mulberry/neck.svg
body,shoulder,/symbols/mulberry/shoulder.svg
body,arms,/symbols/mulberry/arms.svg
body,right hand,/symbols/mulberry/right_hand.svg
body,left hand,/symbols/mulberry/left_hand.svg
body,elbow,/symbols/mulberry/elbow.svg
body,back,/symbols/mulberry/back.svg
body,stomach,/symbols/mulberry/stomach_1.svg
body,finger,/symbols/mulberry/finger.svg
body,leg,/symbols/mulberry/leg.svg
body,foot,/symbols/mulberry/foot.svg
body,throat,/symbols/mulberry/throat.svg
body,hip,/symbols/mulberry/hip.svg
body,bottom,/symbols/mulberry/bottom_3.svg
body > medical,I am,/symbols/arasaac/i_am.png
body > medical,I have,/symbols/arasaac/i_have.png
body > medical,I need,"/symbols/mulberry/help_,_to.svg"
body > medical,back ache,/symbols/mulberry/back_ache.svg
body > medical,headache,/symbols/mulberry/headache.svg
body > medical,stomach ache,/symbols/mulberry/stomach_ache.svg
body > medical,toothache,/symbols/mulberry/toothache.svg
body > medical,inhaler,/symbols/mulberry/inhaler.svg
body > medical,rash,/symbols/mulberry/rash.svg
body > medical,operation,/symbols/mulberry/operation.svg
body > medical,plaster,/symbols/mulberry/plaster.svg
body > medical,medicine,/symbols/mulberry/medicine.svg
body > medical,xray,/symbols/mulberry/xray.svg
body > medical,surgery health centre,/symbols/mulberry/surgery_health_centre.svg
body > medical,syringe,/symbols/mulberry/syringe.svg
body > medical,tablets,/symbols/mulberry/tablets.svg
body > medical,blood pressure,/symbols/mulberry/blood_pressure.svg
body > medical,cut,/symbols/mulberry/cut.svg
body > medical,oxygen mask,/symbols/mulberry/oxygen_mask.svg
body > medical,to vomit,"/symbols/mulberry/vomit_,_to.svg"
body > medical,thermometer,/symbols/mulberry/thermometer.svg
body,thumb,/symbols/mulberry/thumb.svg
body,toe nail,/symbols/mulberry/toe_nail.svg
body,fingernail,/symbols/mulberry/fingernail.svg
body,muscles,/symbols/mulberry/muscles.svg
body,skin,/symbols/mulberry/skin.svg
body,bone,/symbols/mulberry/bone_2.svg
body,knee,/symbols/mulberry/knee.svg
clothing > clothing accessories,glasses,/symbols/mulberry/glasses.svg
clothing > clothing accessories,sunglasses,/symbols/mulberry/sunglasses.svg
clothing > clothing accessories,bobble hat,/symbols/mulberry/bobble_hat.svg
clothing > clothing accessories,cap,/symbols/mulberry/cap.svg
clothing > clothing accessories,bow tie,/symbols/mulberry/bow_tie.svg
clothing > clothing accessories,tie,/symbols/mulberry/tie.svg
clothing > clothing accessories,socks,/symbols/mulberry/socks.svg
clothing > clothing accessories,gloves,/symbols/mulberry/gloves.svg
clothing > clothing accessories,boots,/symbols/mulberry/boots.svg
clothing > clothing accessories,bra,/symbols/mulberry/bra.svg
clothing > clothing accessories,boxer shorts,/symbols/mulberry/boxer_shorts.svg
clothing > clothing accessories,pants,/symbols/mulberry/pants.svg
clothing > clothing accessories,purse,/symbols/mulberry/purse.svg
clothing > clothing accessories,jewellery,/symbols/mulberry/jewellery.svg
clothing > clothing accessories,sandals,/symbols/mulberry/sandals.svg
clothing > clothing accessories,trainers,/symbols/mulberry/trainers.svg
clothing > clothing accessories,scarf,/symbols/mulberry/scarf.svg
clothing > clothing accessories,umbrella,/symbols/mulberry/umbrella.svg
clothing > clothing accessories,watch,/symbols/mulberry/watch.svg
clothing,shirt,/symbols/mulberry/shirt.svg
clothing,t-shirt,/symbols/mulberry/t-shirt.svg
clothing,trousers,/symbols/mulberry/trousers.svg
clothing,shorts,/symbols/mulberry/shorts.svg
clothing,jacket,/symbols/mulberry/jacket.svg
clothing,coat,/symbols/mulberry/coat.svg
clothing,blouse,/symbols/mulberry/blouse.svg
clothing,dress,/symbols/mulberry/dress.svg
clothing,jumper,/symbols/mulberry/jumper.svg
clothing,hoodie,/symbols/mulberry/hoodie.svg
clothing,skirt,/symbols/mulberry/skirt.svg
clothing,vest,/symbols/mulberry/vest.svg
clothing,pyjamas,/symbols/mulberry/pyjamas.svg
clothing > colours,black,/symbols/mulberry/black.svg
clothing > colours,white,/symbols/mulberry/white.svg
clothing > colours,mauve,/symbols/mulberry/mauve.svg
clothing > colours,yellow,/symbols/mulberry/yellow.svg
clothing > colours,pink,/symbols/mulberry/pink.svg
clothing > colours,blue,/symbols/mulberry/blue.svg
clothing > colours,green,/symbols/mulberry/green.svg
clothing > colours,red,/symbols/mulberry/red.svg
clothing > colours,colour,/symbols/mulberry/colour.svg
people > family,my,/symbols/arasaac/my.png
people > family,your,/symbols/arasaac/you_are.png
people > family,family,/symbols/mulberry/family.svg
people > family,grandfather,/symbols/mulberry/grandfather.svg
people > family,grandmother,/symbols/mulberry/grandmother.svg
people > family,mum,/symbols/mulberry/mum.svg
people > family,dad,/symbols/mulberry/dad.svg
people > family,sister,/symbols/mulberry/sister.svg
people > family,brother,/symbols/mulberry/brother.svg
people > family,daughter,/symbols/mulberry/daughter.svg
people > family,son,/symbols/mulberry/son.svg
people > family,baby,/symbols/mulberry/baby.svg
people > characters,fairy,/symbols/mulberry/fairy.svg
people > characters,ghost,/symbols/mulberry/ghost.svg
people > characters,elf,/symbols/mulberry/elf.svg
people > characters,witch,/symbols/mulberry/witch.svg
people > characters,monster,/symbols/mulberry/monster.svg
people,dad,/symbols/mulberry/dad.svg
people,mum,/symbols/mulberry/mum.svg
people,teacher,/symbols/mulberry/teacher_1b.svg
people,doctor,/symbols/mulberry/doctor_1a.svg
people,nurse,/symbols/mulberry/nurse_2a.svg
people,speech language therapist,/symbols/mulberry/speech_language_therapist_1b.svg
people,police,/symbols/mulberry/police_1b.svg
people,delivery person,/symbols/mulberry/delivery_person_1a.svg
people,post person,/symbols/mulberry/post_person_1a.svg
people,dentist,/symbols/mulberry/dentist_1a.svg
people,carpenter,/symbols/mulberry/carpenter_1b.svg
people,secretary,/symbols/mulberry/secretary_1a.svg
people,taxi driver,/symbols/mulberry/taxi_driver_1c.svg
people,gardener,/symbols/mulberry/gardener_2b.svg
people,IT assistant,/symbols/mulberry/it_assistant_2b.svg
describe,I am,/symbols/arasaac/i_am.png
describe,It is,/symbols/arasaac/it_is.png
describe,You are,/symbols/arasaac/you_are.png
describe,no,/symbols/mulberry/no.svg
describe > colours,black,/symbols/mulberry/black.svg
describe > colours,white,/symbols/mulberry/white.svg
describe > colours,mauve,/symbols/mulberry/mauve.svg
describe > colours,yellow,/symbols/mulberry/yellow.svg
describe > colours,pink,/symbols/mulberry/pink.svg
describe > colours,blue,/symbols/mulberry/blue.svg
describe > colours,green,/symbols/mulberry/green.svg
describe > colours,red,/symbols/mulberry/red.svg
describe > colours,colour,/symbols/mulberry/colour.svg
describe > shapes,circle,/symbols/mulberry/circle.svg
describe > shapes,oval,/symbols/mulberry/oval.svg
describe > shapes,triangle equilateral,/symbols/mulberry/triangle_equilateral.svg
describe > shapes,square,/symbols/mulberry/square.svg
describe > shapes,rectangle,/symbols/mulberry/rectangle.svg
describe > shapes,pentagon,/symbols/mulberry/pentagon.svg
describe > shapes,hexagon,/symbols/mulberry/hexagon.svg
describe > shapes,octagon,/symbols/mulberry/octagon.svg
describe > shapes,star,/symbols/mulberry/star_2.svg
describe > shapes,diamond,/symbols/mulberry/diamond.svg
describe > shapes,pyramid triangular base,/symbols/mulberry/pyramid_triangular_base.svg
describe,ugly,/symbols/mulberry/ugly.svg
describe,pretty,/symbols/mulberry/pretty.svg
describe,large,/symbols/mulberry/large.svg
describe,little,/symbols/mulberry/little.svg
describe,same,/symbols/mulberry/same.svg
describe,old,/symbols/mulberry/old_object.svg
describe,fast,/symbols/mulberry/fast_2.svg
describe,dirty,/symbols/mulberry/dirty.svg
describe,quiet,/symbols/mulberry/quiet.svg
describe,loud,/symbols/mulberry/loud.svg
describe,fat,/symbols/mulberry/fat.svg
describe,thin,/symbols/mulberry/thin.svg
describe,tall,/symbols/mulberry/tall.svg
describe,short,/symbols/mulberry/short_2.svg
describe,long,/symbols/mulberry/long.svg
describe,empty,/symbols/mulberry/empty.svg
describe,full,/symbols/mulberry/full.svg
describe,deep,/symbols/mulberry/deep.svg
describe,shallow,/symbols/mulberry/shallow.svg
describe,open,/symbols/mulberry/open_2.svg
describe,closed,/symbols/mulberry/closed.svg
describe,heavy,/symbols/mulberry/heavy.svg
describe,light,/symbols/mulberry/light.svg
describe,broken,/symbols/mulberry/broken.svg
describe,soft,/symbols/mulberry/soft.svg
describe,hard,/symbols/mulberry/hard.svg
describe,curly,/symbols/mulberry/curly.svg
describe,thick,/symbols/mulberry/thick.svg
describe,shiny,/symbols/mulberry/shiny.svg
describe,fancy,/symbols/mulberry/fancy.svg
describe,noisy,/symbols/mulberry/noisy.svg
describe,dry,/symbols/mulberry/dry.svg
describe,wet,/symbols/mulberry/wet_1.svg
describe,sticky,/symbols/mulberry/sticky.svg
kitchen,where is,/symbols/mulberry/where.svg
kitchen,I need,"/symbols/mulberry/help_,_to.svg"
kitchen,my,/symbols/arasaac/my
kitchen,fork,/symbols/mulberry/fork.svg
kitchen,knife,/symbols/mulberry/knife.svg
kitchen,spoon,/symbols/mulberry/spoon.svg
kitchen,plate,/symbols/mulberry/plate.svg
kitchen,drinking glass,"/symbols/mulberry/glass_,_drinking.svg"
kitchen,mug,/symbols/mulberry/mug_2.svg
kitchen,straw,/symbols/mulberry/straw.svg
